Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,SE,Sweden,EURO,0,0,0,0
2020-01-04,SE,Sweden,EURO,0,0,0,0
2020-01-05,SE,Sweden,EURO,0,0,0,0
2020-01-06,SE,Sweden,EURO,0,0,0,0
2020-01-07,SE,Sweden,EURO,0,0,0,0
2020-01-08,SE,Sweden,EURO,0,0,0,0
2020-01-09,SE,Sweden,EURO,0,0,0,0
2020-01-10,SE,Sweden,EURO,0,0,0,0
2020-01-11,SE,Sweden,EURO,0,0,0,0
2020-01-12,SE,Sweden,EURO,0,0,0,0
2020-01-13,SE,Sweden,EURO,0,0,0,0
2020-01-14,SE,Sweden,EURO,0,0,0,0
2020-01-15,SE,Sweden,EURO,0,0,0,0
2020-01-16,SE,Sweden,EURO,0,0,0,0
2020-01-17,SE,Sweden,EURO,0,0,0,0
2020-01-18,SE,Sweden,EURO,0,0,0,0
2020-01-19,SE,Sweden,EURO,0,0,0,0
2020-01-20,SE,Sweden,EURO,0,0,0,0
2020-01-21,SE,Sweden,EURO,0,0,0,0
2020-01-22,SE,Sweden,EURO,0,0,0,0
2020-01-23,SE,Sweden,EURO,0,0,0,0
2020-01-24,SE,Sweden,EURO,0,0,0,0
2020-01-25,SE,Sweden,EURO,0,0,0,0
2020-01-26,SE,Sweden,EURO,0,0,0,0
2020-01-27,SE,Sweden,EURO,0,0,0,0
2020-01-28,SE,Sweden,EURO,0,0,0,0
2020-01-29,SE,Sweden,EURO,0,0,0,0
2020-01-30,SE,Sweden,EURO,0,0,0,0
2020-01-31,SE,Sweden,EURO,1,1,0,0
2020-02-01,SE,Sweden,EURO,0,1,0,0
2020-02-02,SE,Sweden,EURO,0,1,0,0
2020-02-03,SE,Sweden,EURO,0,1,0,0
2020-02-04,SE,Sweden,EURO,0,1,0,0
2020-02-05,SE,Sweden,EURO,0,1,0,0
2020-02-06,SE,Sweden,EURO,0,1,0,0
2020-02-07,SE,Sweden,EURO,0,1,0,0
2020-02-08,SE,Sweden,EURO,0,1,0,0
2020-02-09,SE,Sweden,EURO,0,1,0,0
2020-02-10,SE,Sweden,EURO,0,1,0,0
2020-02-11,SE,Sweden,EURO,0,1,0,0
2020-02-12,SE,Sweden,EURO,0,1,0,0
2020-02-13,SE,Sweden,EURO,0,1,0,0
2020-02-14,SE,Sweden,EURO,0,1,0,0
2020-02-15,SE,Sweden,EURO,0,1,0,0
2020-02-16,SE,Sweden,EURO,0,1,0,0
2020-02-17,SE,Sweden,EURO,0,1,0,0
2020-02-18,SE,Sweden,EURO,0,1,0,0
2020-02-19,SE,Sweden,EURO,0,1,0,0
2020-02-20,SE,Sweden,EURO,0,1,0,0
2020-02-21,SE,Sweden,EURO,0,1,0,0
2020-02-22,SE,Sweden,EURO,0,1,0,0
2020-02-23,SE,Sweden,EURO,0,1,0,0
2020-02-24,SE,Sweden,EURO,0,1,0,0
2020-02-25,SE,Sweden,EURO,0,1,0,0
2020-02-26,SE,Sweden,EURO,0,1,0,0
2020-02-27,SE,Sweden,EURO,0,1,0,0
2020-02-28,SE,Sweden,EURO,1,2,0,0
2020-02-29,SE,Sweden,EURO,1,3,0,0
2020-03-01,SE,Sweden,EURO,8,11,0,0
2020-03-02,SE,Sweden,EURO,3,14,0,0
2020-03-03,SE,Sweden,EURO,0,14,0,0
2020-03-04,SE,Sweden,EURO,5,19,0,0
2020-03-05,SE,Sweden,EURO,13,32,0,0
2020-03-06,SE,Sweden,EURO,30,62,0,0
2020-03-07,SE,Sweden,EURO,25,87,0,0
2020-03-08,SE,Sweden,EURO,59,146,0,0
2020-03-09,SE,Sweden,EURO,33,179,0,0
2020-03-10,SE,Sweden,EURO,46,225,0,0
2020-03-11,SE,Sweden,EURO,101,326,0,0
2020-03-12,SE,Sweden,EURO,98,424,1,1
2020-03-13,SE,Sweden,EURO,196,620,0,1
2020-03-14,SE,Sweden,EURO,151,771,0,1
2020-03-15,SE,Sweden,EURO,152,923,1,2
2020-03-16,SE,Sweden,EURO,71,994,1,3
2020-03-17,SE,Sweden,EURO,69,1063,2,5
2020-03-18,SE,Sweden,EURO,83,1146,2,7
2020-03-19,SE,Sweden,EURO,119,1265,1,8
2020-03-20,SE,Sweden,EURO,145,1410,6,14
2020-03-21,SE,Sweden,EURO,143,1553,7,21
2020-03-22,SE,Sweden,EURO,180,1733,9,30
2020-03-23,SE,Sweden,EURO,136,1869,8,38
2020-03-24,SE,Sweden,EURO,118,1987,11,49
2020-03-25,SE,Sweden,EURO,182,2169,11,60
2020-03-26,SE,Sweden,EURO,230,2399,21,81
2020-03-27,SE,Sweden,EURO,314,2713,22,103
2020-03-28,SE,Sweden,EURO,286,2999,31,134
2020-03-29,SE,Sweden,EURO,365,3364,32,166
2020-03-30,SE,Sweden,EURO,300,3664,35,201
2020-03-31,SE,Sweden,EURO,280,3944,38,239
2020-04-01,SE,Sweden,EURO,416,4360,45,284
2020-04-02,SE,Sweden,EURO,474,4834,48,332
2020-04-03,SE,Sweden,EURO,486,5320,53,385
2020-04-04,SE,Sweden,EURO,554,5874,70,455
2020-04-05,SE,Sweden,EURO,602,6476,80,535
2020-04-06,SE,Sweden,EURO,357,6833,70,605
2020-04-07,SE,Sweden,EURO,340,7173,85,690
2020-04-08,SE,Sweden,EURO,389,7562,90,780
2020-04-09,SE,Sweden,EURO,739,8301,84,864
2020-04-10,SE,Sweden,EURO,654,8955,159,1023
2020-04-11,SE,Sweden,EURO,645,9600,86,1109
2020-04-12,SE,Sweden,EURO,454,10054,90,1199
2020-04-13,SE,Sweden,EURO,395,10449,102,1301
2020-04-14,SE,Sweden,EURO,464,10913,97,1398
2020-04-15,SE,Sweden,EURO,437,11350,84,1482
2020-04-16,SE,Sweden,EURO,479,11829,91,1573
2020-04-17,SE,Sweden,EURO,604,12433,115,1688
2020-04-18,SE,Sweden,EURO,623,13056,111,1799
2020-04-19,SE,Sweden,EURO,689,13745,83,1882
2020-04-20,SE,Sweden,EURO,532,14277,86,1968
2020-04-21,SE,Sweden,EURO,388,14665,87,2055
2020-04-22,SE,Sweden,EURO,461,15126,85,2140
2020-04-23,SE,Sweden,EURO,707,15833,62,2202
2020-04-24,SE,Sweden,EURO,723,16556,77,2279
2020-04-25,SE,Sweden,EURO,758,17314,86,2365
2020-04-26,SE,Sweden,EURO,781,18095,89,2454
2020-04-27,SE,Sweden,EURO,473,18568,73,2527
2020-04-28,SE,Sweden,EURO,300,18868,74,2601
2020-04-29,SE,Sweden,EURO,563,19431,74,2675
2020-04-30,SE,Sweden,EURO,742,20173,83,2758
2020-05-01,SE,Sweden,EURO,799,20972,83,2841
2020-05-02,SE,Sweden,EURO,636,21608,78,2919
2020-05-03,SE,Sweden,EURO,532,22140,78,2997
2020-05-04,SE,Sweden,EURO,299,22439,72,3069
2020-05-05,SE,Sweden,EURO,261,22700,75,3144
2020-05-06,SE,Sweden,EURO,477,23177,83,3227
2020-05-07,SE,Sweden,EURO,657,23834,72,3299
2020-05-08,SE,Sweden,EURO,745,24579,73,3372
2020-05-09,SE,Sweden,EURO,785,25364,80,3452
